iterations, matrix_dim, etime, flops, cores
3588, 16384, 91.704099, 52513814901.992546, 7168
3588, 16384, 91.693435, 52519922289.311119, 7168
3588, 16384, 91.800629, 52458595688.271370, 7168
3588, 16384, 91.442521, 52664034499.223839, 7168
3588, 16384, 91.535304, 52610652613.771843, 7168
3588, 16384, 91.927018, 52386471196.531143, 7168
3588, 16384, 91.346519, 52719382559.503990, 7168
3588, 16384, 91.501353, 52630173464.648117, 7168
3588, 16384, 91.377600, 52701450690.760101, 7168
3588, 16384, 91.479943, 52642491050.087334, 7168
