iterations, matrix_dim, etime, flops, cores
3588, 16384, 272.735719, 17657137460.018574, 4
3588, 16384, 272.768329, 17655026513.873611, 4
3588, 16384, 273.128973, 17631714525.723351, 4
3588, 16384, 273.021356, 17638664429.752518, 4
3588, 16384, 272.888686, 17647239800.333824, 4
3588, 16384, 272.972952, 17641792145.911949, 4
3588, 16384, 273.014850, 17639084762.751915, 4
3588, 16384, 273.045994, 17637072824.587933, 4
3588, 16384, 272.935091, 17644239379.391491, 4
3588, 16384, 272.919767, 17645230074.668797, 4
3588, 16384, 272.804414, 17652691208.434772, 4
3588, 16384, 272.879588, 17647828171.889500, 4
3588, 16384, 272.843623, 17650154427.981628, 4
3588, 16384, 272.809868, 17652338296.795040, 4
3588, 16384, 273.056257, 17636409923.541870, 4
3588, 16384, 272.832485, 17650874970.551983, 4
3588, 16384, 272.827836, 17651175742.346172, 4
3588, 16384, 272.867036, 17648639979.510021, 4
3588, 16384, 273.273956, 17622360180.711842, 4
3588, 16384, 273.085475, 17634522966.261757, 4
3588, 16384, 272.898123, 17646629546.953682, 4
3588, 16384, 273.120675, 17632250215.550323, 4
3588, 16384, 272.955416, 17642925541.510410, 4
3588, 16384, 272.832014, 17650905441.910492, 4
3588, 16384, 272.931588, 17644465838.230495, 4
3588, 16384, 273.131385, 17631558821.553955, 4
3588, 16384, 272.731908, 17657384190.778294, 4
3588, 16384, 272.796261, 17653218790.414433, 4
3588, 16384, 273.146981, 17630552104.253353, 4
3588, 16384, 272.821551, 17651582373.124184, 4
3588, 16384, 272.968648, 17642070310.726677, 4
3588, 16384, 272.803988, 17652718774.184490, 4
3588, 16384, 272.865063, 17648767591.181137, 4
3588, 16384, 272.942299, 17643773421.282715, 4
3588, 16384, 272.819869, 17651691199.367889, 4
3588, 16384, 273.011842, 17639279107.314327, 4
3588, 16384, 272.777995, 17654400900.776474, 4
3588, 16384, 273.271550, 17622515335.533466, 4
3588, 16384, 272.812188, 17652188180.976723, 4
3588, 16384, 272.806016, 17652587546.456455, 4
3588, 16384, 272.844703, 17650084563.452202, 4
3588, 16384, 272.791892, 17653501522.105354, 4
3588, 16384, 273.041302, 17637375903.811066, 4
3588, 16384, 273.039914, 17637465563.514645, 4
3588, 16384, 272.723377, 17657936527.531338, 4
3588, 16384, 272.807185, 17652511903.746231, 4
3588, 16384, 272.820541, 17651647720.469845, 4
3588, 16384, 272.831714, 17650924850.473946, 4
3588, 16384, 273.116317, 17632531565.809013, 4
3588, 16384, 272.751186, 17656136170.348309, 4
